page	construct	role	key
users-add	nav-menu-option-text	navigation	Home
users-add	sidebar-header	stated	HeaderMedia
users-add	sidebar-header	stated	HeaderAdmin
users-add	nav-menu-option-text	navigation	TabDashboard
users-add	nav-menu-option-text	navigation	MetadataManager
users-add	sidebar-header	stated	HeaderUser
users-add	nav-menu-option-text	navigation	SelectServer
users-add	nav-menu-option-text	navigation	Settings
users-add	nav-menu-option-text	navigation	ButtonSignOut
users-add	vertical-section	stated	HeaderAddUser
users-password	skin-header	silent	silent
users-password	header-back-button	navigation	silent
users-password	header-home-button	navigation	silent
users-password	main-drawer-button	navigation	silent
users-password	page-title	silent	silent
users-password	header-sync-button	navigation	silent
users-password	header-audio-player-button	navigation	silent
users-password	header-cast-button	navigation	silent
users-password	header-search-button	navigation	silent
users-password	header-user-button	navigation	silent
users-password	header-tabs	silent	silent
users-password	main-drawer	silent	silent
users-password	nav-menu-option	navigation	silent
users-password	nav-menu-option-icon	navigation	silent
users-password	nav-menu-option-text	navigation	Home
users-password	sidebar-header	stated	HeaderMedia
users-password	sidebar-header	stated	HeaderAdmin
users-password	nav-menu-option-text	navigation	TabDashboard
users-password	nav-menu-option-text	navigation	MetadataManager
users-password	sidebar-header	stated	HeaderUser
users-password	nav-menu-option-text	navigation	SelectServer
users-password	nav-menu-option-text	navigation	Settings
users-password	nav-menu-option-text	navigation	ButtonSignOut
users-password	vertical-section	silent	silent
users-profile	skin-header	silent	silent
users-profile	header-back-button	navigation	silent
users-profile	header-home-button	navigation	silent
users-profile	main-drawer-button	navigation	silent
users-profile	page-title	silent	silent
users-profile	header-sync-button	navigation	silent
users-profile	header-audio-player-button	navigation	silent
users-profile	header-cast-button	navigation	silent
users-profile	header-search-button	navigation	silent
users-profile	header-user-button	navigation	silent
users-profile	header-tabs	silent	silent
users-profile	main-drawer	silent	silent
users-profile	nav-menu-option	navigation	silent
users-profile	nav-menu-option-icon	navigation	silent
users-profile	nav-menu-option-text	navigation	Home
users-profile	sidebar-header	stated	HeaderMedia
users-profile	sidebar-header	stated	HeaderAdmin
users-profile	nav-menu-option-text	navigation	TabDashboard
users-profile	nav-menu-option-text	navigation	MetadataManager
users-profile	sidebar-header	stated	HeaderUser
users-profile	nav-menu-option-text	navigation	SelectServer
users-profile	nav-menu-option-text	navigation	Settings
users-profile	nav-menu-option-text	navigation	ButtonSignOut
users-profile	vertical-section	silent	silent
users-profile	vertical-section-h2	stated	HeaderFeatureAccess
users-profile	vertical-section	stated	OptionAllowMediaPlaybackTranscodingHelp
users-profile	vertical-section-h2	stated	HeaderPlayback
users-profile	vertical-section	stated	LabelRemoteClientBitrateLimit
users-profile	vertical-section	stated	LabelRemoteClientBitrateLimitHelp
users-profile	vertical-section	stated	LabelUserRemoteClientBitrateLimitHelp
users-profile	vertical-section	stated	SyncPlayAccessHelp
users-profile	vertical-section-h2	stated	HeaderAllowMediaDeletionFrom
users-profile	vertical-section	stated	OptionAllowRemoteSharedDevicesHelp
users-profile	vertical-section-h2	stated	HeaderRemoteControl
users-profile	users-profile-h2	stated	Other
users-profile	vertical-section	stated	LabelUserLoginAttemptsBeforeLockout
users-profile	vertical-section	stated	OptionLoginAttemptsBeforeLockout
users-profile	vertical-section	stated	OptionLoginAttemptsBeforeLockoutHelp
users-profile	vertical-section	stated	LabelUserMaxActiveSessions
users-profile	vertical-section	stated	OptionMaxActiveSessions
users-profile	vertical-section	stated	OptionMaxActiveSessionsHelp
video	skin-header	silent	silent
video	header-back-button	navigation	silent
video	header-home-button	navigation	silent
video	main-drawer-button	navigation	silent
video	page-title	silent	silent
video	header-sync-button	navigation	silent
video	header-audio-player-button	navigation	silent
video	header-cast-button	navigation	silent
video	header-search-button	navigation	silent
video	header-user-button	navigation	silent
video	header-tabs	silent	silent
video	main-drawer	silent	silent
video	nav-menu-option	navigation	silent
video	nav-menu-option-icon	navigation	silent
video	nav-menu-option-text	navigation	Home
video	sidebar-header	stated	HeaderMedia
video	sidebar-header	stated	HeaderAdmin
video	nav-menu-option-text	navigation	TabDashboard
video	nav-menu-option-text	navigation	MetadataManager
video	sidebar-header	stated	HeaderUser
video	nav-menu-option-text	navigation	SelectServer
video	nav-menu-option-text	navigation	Settings
video	nav-menu-option-text	navigation	ButtonSignOut
video	paper-icon-button-light	navigation	silent
video	video-button	navigation	silent
